id,nombre,descripcion,ph_min,ph_max,humedad_min,humedad_max,altitud_min,altitud_max,temp_min,temp_max
83,Pasto Jaragua,Muy resistente a altas temperaturas,4.71,6.67,39.8,72.4,45,1875,24.2,37.5
84,Pasto Angleton,Forraje tropical para pastoreo,5.07,6.94,46.7,73.0,75,1847,21.4,35.0
85,Pasto Toledo,Variedad mejorada de brachiaria,5.12,6.68,51.6,79.0,15,2198,20.6,34.7
86,Pasto Mombasa,Alta producción de biomasa,4.97,6.9,56.7,77.7,44,1875,22.8,36.0
87,Pasto Tanzania,Excelente calidad nutricional,4.8,7.0,57.7,80.1,22,1722,21.8,35.9
88,Pasto Mulato II,Híbrido resistente y nutritivo,5.09,6.63,51.5,79.1,74,2132,19.9,36.3
89,Pasto Humidícola,Ideal para terrenos inundables,4.42,6.66,73.1,97.2,25,1172,21.3,34.7
90,Pasto Rhodes,Muy usado en sistemas ganaderos,5.13,6.98,44.7,77.5,32,2120,19.7,36.5
91,Pasto Buffel,Excelente resistencia a sequía,4.9,7.3,36.4,63.8,0,1707,23.4,39.8
92,Soja Forrajera,Fuente rica en proteína vegetal,5.85,7.16,47.5,72.4,71,1848,19.8,31.2
93,Vicia,Leguminosa usada en mezcla con gramíneas,6.12,7.43,55.1,77.8,1183,2967,10.1,25.0
94,Cebada Forrajera,Excelente para climas templados,6.06,7.37,52.8,76.5,1480,3255,8.8,19.2
95,Festuca,Gramínea perenne para clima frío,5.34,6.99,62.4,87.4,1783,3274,7.1,20.2
96,Dactylis Glomerata,Pasto resistente al frío,5.34,6.9,53.5,77.3,1746,3118,8.8,20.3
97,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.67,7.6,52.8,77.4,1439,3214,10.2,23.4
98,Pasto Sudan,Híbrido de rápido crecimiento,5.17,6.84,43.2,68.7,0,1727,21.0,37.2
99,Arachis Pintoi,Leguminosa rastrera tropical,5.17,6.79,56.0,87.2,86,1897,19.8,33.7
100,Calliandra,Arbusto forrajero rico en proteína,5.62,7.52,48.3,79.3,0,2407,17.4,30.1
101,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.94,6.89,42.7,75.2,0,1756,21.9,36.7
102,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,4.89,7.02,56.1,85.1,0,2190,17.9,31.7
103,Pasto Elefante,Forraje tropical de alta producción,5.34,6.9,58.3,80.3,87,1899,19.9,34.6
104,Alfalfa,Leguminosa rica en proteína para ganado,6.05,7.41,51.4,67.5,998,3244,14.8,27.0
105,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.7,6.45,37.0,72.0,0,1933,21.2,36.6
106,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.04,6.7,44.7,78.4,18,2139,19.1,35.5
107,Pasto Guinea,Pasto tropical de rápido crecimiento,5.08,6.86,57.5,82.4,0,1853,21.2,34.9
108,Pasto Kikuyo,Muy usado en lechería de clima frío,5.4,6.86,66.2,91.4,1794,3148,10.4,21.4
109,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.7,7.28,67.8,87.9,1813,3283,7.2,20.0
110,Ray Grass Italiano,Forraje de alta digestibilidad,5.79,7.19,58.0,84.5,1532,3011,10.2,22.5
111,Maíz Forrajero,Utilizado principalmente para ensilaje,5.34,6.92,55.8,81.2,0,2540,18.2,31.1
112,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.83,6.91,47.6,67.2,56,2237,20.0,37.8
113,Avena Forrajera,Excelente producción en clima frío,5.78,7.26,62.1,87.0,1442,3230,7.6,20.4
114,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.83,7.48,54.2,77.8,1162,2879,11.4,24.9
115,Trébol Rojo,Forraje de buena calidad nutricional,6.0,7.24,47.1,75.5,1110,3014,10.2,24.4
116,Canavalia,Leguminosa usada como cobertura y forraje,5.51,7.4,47.9,77.4,55,1813,19.3,32.6
117,Leucaena,Árbol forrajero rico en proteína,5.55,7.33,42.7,75.7,6,1713,21.5,35.8
118,Botón de Oro,Forraje arbustivo de alta proteína,4.95,7.13,51.0,83.4,9,2538,17.4,29.8
119,King Grass,Variedad de pasto de gran rendimiento,5.41,6.83,61.6,87.8,0,1838,22.3,35.0
120,Pasto Estrella,Pasto tropical resistente al pastoreo,4.98,6.86,51.4,80.5,0,2018,21.1,35.3
121,Pasto Tanner,Pasto adaptado a suelos húmedos,4.78,6.48,69.7,91.6,86,1576,21.3,34.1
122,Pasto Pangola,Excelente digestibilidad para bovinos,5.12,7.17,52.3,81.8,22,1752,19.5,34.2
123,Moringa,Árbol forrajero con alto contenido nutricional,4.85,7.41,38.6,68.9,0,1512,24.4,38.0
124,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.04,7.01,50.7,73.3,50,1926,20.0,34.9
125,Pennisetum Purpureum,Pasto tropical para corte,5.66,7.07,58.6,83.9,27,1751,22.4,35.7
126,Maralfalfa,Pasto híbrido de alta producción,5.65,7.04,61.9,82.6,61,2035,20.9,34.8
127,Caña Forrajera,Utilizada como suplemento energético,4.82,7.65,57.0,79.7,20,1848,22.9,35.5
128,Centrosema,Leguminosa tropical rastrera,5.04,6.77,58.0,86.1,0,1896,19.1,34.8
129,Desmodium,Leguminosa de buena digestibilidad,5.64,6.96,50.2,82.5,0,2218,17.6,32.7
130,Guandul,Leguminosa arbustiva resistente,4.85,7.51,46.1,75.7,0,1953,19.7,34.6
131,Caupí Forrajero,Leguminosa anual tropical,5.04,7.1,47.8,72.1,0,1822,22.1,33.9
132,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.02,7.0,43.8,77.5,1,2217,20.1,35.7
133,Pasto Alemán,Forraje adaptado a zonas húmedas,5.06,6.69,69.0,95.7,22,1171,22.3,33.2
134,Pasto Jaragua,Muy resistente a altas temperaturas,4.71,6.75,41.8,69.0,0,1723,24.5,38.4
135,Pasto Angleton,Forraje tropical para pastoreo,4.89,6.84,45.6,77.3,36,1883,21.9,35.2
136,Pasto Toledo,Variedad mejorada de brachiaria,5.04,6.69,47.3,78.1,61,2145,19.4,35.6
137,Pasto Mombasa,Alta producción de biomasa,4.84,7.04,53.6,82.4,0,1762,21.6,34.8
138,Pasto Tanzania,Excelente calidad nutricional,4.89,7.1,57.8,81.6,0,1794,21.6,35.2
139,Pasto Mulato II,Híbrido resistente y nutritivo,5.16,6.84,52.8,81.0,50,2221,19.8,35.7
140,Pasto Humidícola,Ideal para terrenos inundables,4.56,6.43,76.3,94.6,86,1230,22.0,33.6
141,Pasto Rhodes,Muy usado en sistemas ganaderos,5.18,6.9,43.1,74.6,69,2100,20.3,35.9
142,Pasto Buffel,Excelente resistencia a sequía,5.07,7.31,36.7,65.9,64,1809,25.0,39.1
143,Soja Forrajera,Fuente rica en proteína vegetal,5.81,7.06,48.0,72.0,94,1868,19.0,31.8
144,Vicia,Leguminosa usada en mezcla con gramíneas,6.06,7.46,55.2,77.1,1125,3064,10.8,24.4
145,Cebada Forrajera,Excelente para climas templados,5.82,7.51,49.1,77.6,1465,3163,8.5,20.2
146,Festuca,Gramínea perenne para clima frío,5.45,6.94,59.8,86.6,1722,3207,8.0,19.5
147,Dactylis Glomerata,Pasto resistente al frío,5.36,7.13,52.9,80.3,1763,3248,7.1,20.5
148,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.33,7.53,50.4,72.3,1445,3101,10.1,23.2
149,Pasto Sudan,Híbrido de rápido crecimiento,4.87,7.11,47.1,70.8,94,1766,21.8,37.5
150,Arachis Pintoi,Leguminosa rastrera tropical,5.01,6.89,55.1,82.1,48,1802,20.7,34.3
151,Calliandra,Arbusto forrajero rico en proteína,5.69,7.47,51.3,79.0,78,2591,17.2,29.7
152,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.94,6.93,42.4,74.5,45,1703,22.4,36.9
153,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.16,6.96,57.8,84.1,90,2146,17.7,31.8
154,Pasto Elefante,Forraje tropical de alta producción,5.42,6.99,62.1,77.3,5,1858,19.4,34.1
155,Alfalfa,Leguminosa rica en proteína para ganado,6.05,7.44,51.7,68.8,1043,3139,14.2,27.0
156,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.47,6.4,38.3,76.6,68,1953,22.4,36.7
157,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.06,6.77,47.4,79.1,0,2218,20.7,35.8
158,Pasto Guinea,Pasto tropical de rápido crecimiento,4.99,6.87,52.8,80.8,14,1869,21.4,33.9
159,Pasto Kikuyo,Muy usado en lechería de clima frío,5.52,6.95,62.5,89.5,1760,3170,10.3,21.7
160,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.91,7.36,63.3,86.5,1793,3153,9.0,20.8
161,Ray Grass Italiano,Forraje de alta digestibilidad,5.79,7.09,60.6,84.6,1456,3065,9.2,21.3
162,Maíz Forrajero,Utilizado principalmente para ensilaje,5.6,6.81,57.1,81.4,0,2462,17.1,32.2
163,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.04,7.17,46.1,72.2,0,2193,21.0,37.9
164,Avena Forrajera,Excelente producción en clima frío,5.79,7.46,61.2,82.5,1492,3147,7.2,20.7
165,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.94,7.66,57.9,77.1,1157,2842,12.5,23.5
166,Trébol Rojo,Forraje de buena calidad nutricional,6.09,7.24,52.1,77.8,1130,3080,10.8,23.9
167,Canavalia,Leguminosa usada como cobertura y forraje,5.51,7.49,52.7,78.1,57,1888,20.1,32.1
168,Leucaena,Árbol forrajero rico en proteína,5.51,7.51,44.2,72.9,58,1710,21.1,35.8
169,Botón de Oro,Forraje arbustivo de alta proteína,5.0,7.03,51.8,82.6,63,2511,17.9,30.0
170,King Grass,Variedad de pasto de gran rendimiento,5.61,7.08,62.4,82.9,39,1784,22.4,35.7
171,Pasto Estrella,Pasto tropical resistente al pastoreo,4.8,6.7,47.7,79.1,63,1995,22.5,36.7
172,Pasto Tanner,Pasto adaptado a suelos húmedos,4.84,6.44,68.8,87.3,0,1436,22.4,33.2
173,Pasto Pangola,Excelente digestibilidad para bovinos,5.1,6.94,56.1,81.5,91,1836,20.3,35.4
174,Moringa,Árbol forrajero con alto contenido nutricional,4.95,7.41,37.6,70.7,0,1556,24.6,37.1
175,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.01,6.86,48.2,77.0,0,1900,19.5,33.8
176,Pennisetum Purpureum,Pasto tropical para corte,5.69,7.02,57.9,82.5,88,1715,21.9,34.3
177,Maralfalfa,Pasto híbrido de alta producción,5.6,7.18,60.9,84.8,96,1937,19.0,34.1
178,Caña Forrajera,Utilizada como suplemento energético,4.86,7.67,53.3,82.4,0,1828,22.8,35.5
179,Centrosema,Leguminosa tropical rastrera,5.18,6.78,53.5,82.0,0,1745,20.3,33.8
180,Desmodium,Leguminosa de buena digestibilidad,5.7,6.84,52.2,82.6,0,2205,17.7,31.6
181,Guandul,Leguminosa arbustiva resistente,4.85,7.44,45.5,77.9,80,1991,20.8,35.4
182,Caupí Forrajero,Leguminosa anual tropical,4.81,7.04,47.2,77.2,96,1890,21.0,35.0
183,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.0,7.16,45.5,82.0,20,2261,19.5,35.7
184,Pasto Alemán,Forraje adaptado a zonas húmedas,5.09,6.35,70.3,92.8,0,1237,22.6,35.0
185,Pasto Jaragua,Muy resistente a altas temperaturas,4.7,6.83,39.6,71.8,0,1804,24.3,37.4
186,Pasto Angleton,Forraje tropical para pastoreo,4.97,6.65,42.2,75.3,89,1756,21.5,35.1
187,Pasto Toledo,Variedad mejorada de brachiaria,5.13,6.83,47.4,82.8,0,2300,19.7,34.9
188,Pasto Mombasa,Alta producción de biomasa,4.93,6.98,53.3,77.3,0,1773,21.6,35.3
189,Pasto Tanzania,Excelente calidad nutricional,5.01,7.11,55.9,78.9,57,1858,22.3,35.7
190,Pasto Mulato II,Híbrido resistente y nutritivo,4.93,6.81,51.9,80.3,96,2170,19.8,36.4
191,Pasto Humidícola,Ideal para terrenos inundables,4.55,6.39,73.2,93.5,0,1133,22.5,34.2
192,Pasto Rhodes,Muy usado en sistemas ganaderos,4.9,7.04,42.3,75.9,0,2205,20.1,36.2
193,Pasto Buffel,Excelente resistencia a sequía,4.86,7.3,34.5,65.7,40,1786,23.2,39.5
194,Soja Forrajera,Fuente rica en proteína vegetal,5.81,7.15,50.9,73.5,0,1886,19.4,32.9
195,Vicia,Leguminosa usada en mezcla con gramíneas,5.81,7.5,53.1,80.1,1120,3057,10.7,24.9
196,Cebada Forrajera,Excelente para climas templados,5.99,7.51,48.5,77.8,1529,3240,8.7,19.6
197,Festuca,Gramínea perenne para clima frío,5.69,7.08,58.3,83.7,1757,3206,8.4,19.3
198,Dactylis Glomerata,Pasto resistente al frío,5.69,7.08,52.6,82.2,1734,3223,8.2,19.1
199,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.69,7.6,50.7,73.7,1432,3195,9.5,23.5
200,Pasto Sudan,Híbrido de rápido crecimiento,4.95,6.88,44.5,67.8,36,1804,21.7,38.3
201,Arachis Pintoi,Leguminosa rastrera tropical,5.18,6.64,53.4,83.8,89,1812,19.4,33.7
202,Calliandra,Arbusto forrajero rico en proteína,5.33,7.65,49.5,82.1,5,2402,18.5,30.6
203,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.98,7.17,42.4,75.2,0,1828,21.7,36.6
204,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.04,7.18,53.6,83.7,84,2206,17.8,31.6
205,Pasto Elefante,Forraje tropical de alta producción,5.37,6.91,60.5,77.5,79,1858,20.1,34.0
206,Alfalfa,Leguminosa rica en proteína para ganado,6.1,7.39,48.9,71.0,965,3282,15.4,27.2
207,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.51,6.45,40.7,73.7,27,1993,22.8,35.7
208,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.19,6.72,43.2,82.2,53,2146,19.3,34.4
209,Pasto Guinea,Pasto tropical de rápido crecimiento,5.19,6.93,54.3,78.9,87,1834,22.1,34.5
210,Pasto Kikuyo,Muy usado en lechería de clima frío,5.55,7.02,66.5,92.6,1862,3175,10.3,21.6
211,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.94,7.15,65.4,87.4,1841,3223,8.0,20.3
212,Ray Grass Italiano,Forraje de alta digestibilidad,5.75,6.93,57.2,82.2,1570,2952,10.1,22.1
213,Maíz Forrajero,Utilizado principalmente para ensilaje,5.48,6.94,55.1,79.6,0,2410,18.5,31.3
214,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.87,6.89,44.7,67.6,0,2115,20.8,38.0
215,Avena Forrajera,Excelente producción en clima frío,5.81,7.16,61.1,87.3,1445,3243,7.8,19.4
216,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.94,7.56,55.2,75.4,1265,2772,11.5,23.2
217,Trébol Rojo,Forraje de buena calidad nutricional,6.18,7.19,47.4,77.0,1269,2953,10.8,24.5
218,Canavalia,Leguminosa usada como cobertura y forraje,5.67,7.6,52.3,79.5,2,1731,20.7,32.4
219,Leucaena,Árbol forrajero rico en proteína,5.38,7.41,42.6,73.0,0,1824,22.5,34.0
220,Botón de Oro,Forraje arbustivo de alta proteína,4.99,7.16,52.1,82.2,0,2551,17.4,29.7
221,King Grass,Variedad de pasto de gran rendimiento,5.52,7.11,58.4,84.1,0,1871,21.5,35.1
222,Pasto Estrella,Pasto tropical resistente al pastoreo,4.96,6.67,51.2,78.1,0,1966,22.2,36.0
223,Pasto Tanner,Pasto adaptado a suelos húmedos,4.88,6.42,72.4,89.3,50,1578,21.5,34.9
224,Pasto Pangola,Excelente digestibilidad para bovinos,5.14,6.86,56.2,77.3,85,1828,19.3,35.7
225,Moringa,Árbol forrajero con alto contenido nutricional,5.05,7.56,40.3,71.3,0,1511,24.5,38.7
226,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.16,6.81,47.1,74.6,75,2009,21.0,34.9
227,Pennisetum Purpureum,Pasto tropical para corte,5.61,7.18,60.5,86.3,49,1783,21.2,35.1
228,Maralfalfa,Pasto híbrido de alta producción,5.57,6.94,61.8,84.8,0,2031,19.8,35.3
229,Caña Forrajera,Utilizada como suplemento energético,4.91,7.56,54.4,78.9,71,1722,21.2,36.7
230,Centrosema,Leguminosa tropical rastrera,4.88,6.97,54.3,82.4,46,1866,19.4,33.7
231,Desmodium,Leguminosa de buena digestibilidad,5.36,6.92,52.1,79.9,18,2118,18.5,31.9
232,Guandul,Leguminosa arbustiva resistente,5.13,7.67,45.9,75.2,0,1936,20.7,35.5
233,Caupí Forrajero,Leguminosa anual tropical,4.99,6.87,48.1,77.8,0,1716,21.3,33.3
234,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.88,6.83,44.8,81.4,14,2288,21.0,36.4
235,Pasto Alemán,Forraje adaptado a zonas húmedas,5.2,6.42,67.1,97.0,40,1171,21.9,33.1
236,Pasto Jaragua,Muy resistente a altas temperaturas,5.0,6.78,41.9,71.4,1,1871,23.1,38.2
237,Pasto Angleton,Forraje tropical para pastoreo,5.01,6.7,46.5,74.3,0,1791,22.4,35.7
238,Pasto Toledo,Variedad mejorada de brachiaria,5.03,6.91,48.0,78.9,56,2203,19.9,34.4
239,Pasto Mombasa,Alta producción de biomasa,5.13,6.85,52.4,79.5,39,1768,21.4,35.8
240,Pasto Tanzania,Excelente calidad nutricional,4.93,7.18,53.8,81.3,60,1793,23.0,35.1
241,Pasto Mulato II,Híbrido resistente y nutritivo,4.95,6.95,50.3,78.9,0,2156,20.4,35.6
242,Pasto Humidícola,Ideal para terrenos inundables,4.38,6.65,77.9,96.2,0,1122,22.1,34.0
243,Pasto Rhodes,Muy usado en sistemas ganaderos,5.09,6.84,44.0,74.1,64,2180,20.1,36.8
244,Pasto Buffel,Excelente resistencia a sequía,4.82,7.66,32.5,62.5,74,1801,24.7,40.4
245,Soja Forrajera,Fuente rica en proteína vegetal,5.64,7.38,51.1,74.6,0,1770,20.6,31.2
246,Vicia,Leguminosa usada en mezcla con gramíneas,6.01,7.67,56.5,80.5,1151,3016,10.1,23.7
247,Cebada Forrajera,Excelente para climas templados,6.07,7.51,49.3,76.3,1498,3172,7.9,19.3
248,Festuca,Gramínea perenne para clima frío,5.57,7.11,58.9,84.2,1745,3178,7.1,20.2
249,Dactylis Glomerata,Pasto resistente al frío,5.67,6.92,56.6,81.5,1764,3143,7.3,20.4
250,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.43,7.64,47.5,72.3,1461,3210,9.3,23.4
